input,label,output
"Dasar tidak becus! Pekerjaan begini saja salah semua.","marah","Maaf atas ketidaknyamanan ini. Tolong beritahu bagian mana yang salah agar segera saya perbaiki."
"Saya sudah menunggu dua jam, pelayanannya sangat buruk!","marah","Saya mengerti kekecewaan Anda. Mohon maaf atas keterlambatan ini, saya akan segera mengecek status antrian Anda."
"Jangan pernah hubungi saya lagi, saya muak dengan alasanmu.","marah","Baik, saya menghargai keputusan Anda. Saya tidak akan menghubungi lagi. Mohon maaf jika ada kesalahan sebelumnya."
"Siapa yang bertanggung jawab atas kekacauan ini?","marah","Kami bertanggung jawab penuh. Mari kita selesaikan masalah ini bersama-sama dengan kepala dingin."
"Kamu pikir saya main-main? Cepat kerjakan!","marah","Siap, dimengerti. Saya akan memprioritaskan tugas ini sekarang juga."
"Diam kamu! Saya tidak butuh penjelasan.","marah","Baik, saya akan diam. Silakan hubungi saya kembali jika Anda sudah siap berbicara."
"Ini penipuan namanya, kembalikan uang saya sekarang!","marah","Tenang Pak/Bu, kami perusahaan resmi. Silakan kirimkan bukti transaksi, kami akan proses refund jika memang ada kesalahan sistem."
"Gara-gara kamu, proyek kita jadi hancur berantakan.","marah","Saya minta maaf jika kontribusi saya kurang maksimal. Mari kita evaluasi apa yang masih bisa diselamatkan."
"Minggir dari hadapanku, bikin emosi saja.","marah","Baik, saya akan memberi Anda ruang untuk sendiri dulu."
"Saya sangat kecewa dengan sikap tidak profesional Anda.","marah","Terima kasih atas masukannya. Saya akan introspeksi diri agar lebih profesional ke depannya."
"Ih, baunya busuk sekali, seperti bangkai tikus.","jijik","Waduh, maaf ya. Sebaiknya kita panggil petugas kebersihan atau pindah ke ruangan lain."
"Lihat itu, ada kecoa di dalam supnya. Mau muntah rasanya.","jijik","Astaga! Itu tidak bisa dimaafkan. Segera panggil pelayan untuk ganti baru atau batalkan pesanan."
"Jangan sentuh saya dengan tangan kotor itu.","jijik","Maaf, saya akan mencuci tangan terlebih dahulu sampai bersih sebelum mendekat."
"Tempat ini jorok sekali, banyak sampah berserakan.","jijik","Benar, kondisinya memprihatinkan. Mari kita cari tempat yang lebih higienis."
"Duh, mukanya berminyak banget, bikin ilfeel.","jijik","Mungkin dia sedang banyak aktivitas fisik. Tapi saya mengerti ketidaknyamanan Anda melihatnya."
"Makanan ini rasanya aneh, teksturnya seperti lendir.","jijik","Jangan ditelan! Keluarkan saja. Bahaya kalau makanan sudah basi."
"Saya tidak sanggup melihat luka yang bernanah itu.","jijik","Tutup mata saja atau berpaling. Biar dokter yang menanganinya."
"Kenapa dia makan dengan cara menjijikkan seperti itu?","jijik","Mungkin itu kebiasaannya, meski memang kurang sedap dipandang. Kita fokus ke makanan kita saja."
"Buang sampah itu jauh-jauh, baunya menyengat.","jijik","Siap, akan segera saya buang ke tempat sampah tertutup di luar."
